Task_ID,Epic,User_Story,Description,Task_Description,Detailed_Prompt,Priority,Story_Points,Assignee,Status,Sprint,Notes
F-001,Enhanced Donor & Beneficiary Experience,"As a donor I can see cause images, progress bars, and impact visuals (raised/goal charts)","Causes show optional hero images, progress bars, and a simple raised-vs-goal chart.",Add image URL field to causes table + UI cards with Tailwind progress bars + Recharts simple pie/donut for raised vs goal,"You are implementing cause visuals in the Vaultex monorepo. Add nullable image_url to causes (migration in db.ts + API on POST/GET causes). Admin New Cause form: URL field + validation. CausesPage and CauseDetail: responsive image, Tailwind progress bar (raised_eth/goal_eth), one Recharts donut or bar for split. Fallback placeholder when image_url null. Do not break existing donate flow.",Must,5,Haha,To Do,,Frontend – React components + Tailwind
F-002,Enhanced Donor & Beneficiary Experience,As any user I can view beneficiary “stories/updates” (markdown + images) linked to causes,Public read-only stories with markdown and optional images; beneficiaries can author (when backend exists).,"New stories table (cause_id, title, markdown_body, image_url, posted_at), public /stories route + UI markdown renderer (react-markdown)",Design stories feature: Tasin adds SQLite stories table + REST (GET public published; POST/PATCH owner beneficiary). Haha adds /stories and /stories/:id using react-markdown + sanitization (rehype-sanitize). Link stories from cause detail when cause_id set. Empty states and 404 handling.,Should,8,Haha,To Do,,Frontend + minor backend collab
F-003,Enhanced Donor & Beneficiary Experience,As a donor I can generate/download PDF donation receipts with tx hash + impact summary,Donors download a PDF receipt including tx hash and cause metadata after donation.,"Backend PDF generation endpoint (pdf-lib or puppeteer) returning receipt with logo, tx hash, amount, cause name; frontend download button","Add POST /api/receipts/donation or GET with query: validate session + ledger row ownership. Generate PDF with pdf-lib (preferred) or puppeteer: logo, date, masked addresses, full tx hash, amount ETH, cause title. Frontend: Download button on Account or post-donate toast. Stream application/pdf.",Should,5,Tasin,To Do,,Backend PDF logic + Frontend trigger
F-004,Enhanced Donor & Beneficiary Experience,"As a logged-in user I can see personalized impact dashboard (total donated, causes supported)",Logged-in users see aggregate donated amount and list of supported causes.,"New /api/me/impact endpoint + dashboard page with stats cards, donation history chart, causes supported list","Tasin: GET /api/me/impact aggregating from ledger_entries + causes for current user anvil address. Haha: new /impact or /account/impact section with stat cards, simple line chart of cumulative donations, chips for causes. Handle empty history.",Should,5,Haha,To Do,,Frontend dashboard + Tasin API
F-005,Public Ledger & Transparency Superpowers,As a visitor I get real-time ledger updates via WebSockets when new blocks arrive,Ledger page updates without manual refresh when new entries appear.,Implement Socket.io (or native WS) broadcaster on new ledger entry; frontend subscribes on /ledger page with auto-refresh,Tasin: on ledger insert path emit WebSocket or SSE event (Socket.io server attached to same HTTP server or separate port documented). Haha: LedgerPage subscribes; debounce re-fetch /api/ledger; show subtle toast on new rows; cleanup on unmount. Fallback polling 15s if WS unavailable.,Must,8,Tasin,To Do,,Backend WS + Haha client integration
F-006,Public Ledger & Transparency Superpowers,"As a visitor I can search/filter ledger by cause, date range, kind, amount","Visitors filter the public ledger by cause, date, kind, and amount.","Extend /api/ledger with query params (causeId, startDate, endDate, kind, minAmount); update virtualized list UI with filters",Tasin: extend GET /api/ledger with validated query params; SQL only parameterized queries. Haha: filter controls above virtualized list; sync filters to URL search params; reset button. Preserve performance with existing TanStack virtualizer.,Must,5,Haha,To Do,,Frontend filters + Tasin query enhancement
F-007,Public Ledger & Transparency Superpowers,As admin I can export full ledger to CSV/PDF with filters applied,Admin exports filtered ledger as CSV (optional PDF later).,New /api/ledger/export?format=csv endpoint (with same filters); frontend export buttons,Implement GET /api/ledger/export?format=csv&...same filters as F-006. requireAdmin. Stream text/csv with Content-Disposition filename. Frontend: Export CSV button on admin ledger view or Account for admin. Row cap e.g. 10k with warning.,Should,3,Tasin,To Do,,Backend export logic
F-008,Admin & Analytics Power,"As admin I have a dashboard with charts (total raised, donations over time, top causes)",Admin dashboard with charts for fundraising KPIs.,New /api/admin/analytics endpoint returning time-series + top causes; admin dashboard page with Recharts,"Tasin: GET /api/admin/analytics — time series of donation_in per day, top causes by raised_eth, optional disbursement series. Haha: /admin/dashboard route (RequireAdmin) with Recharts line+bar, loading skeletons. Reuse overview stats where possible.",Must,8,Haha,To Do,,Haha charts + Tasin analytics query
F-009,Admin & Analytics Power,As admin I can trigger “impact reports” emailed to donors/beneficiaries,Optional email reports to stakeholders (stretch).,Optional nodemailer integration + /api/admin/report endpoint (future polish),If implementing: add nodemailer + env SMTP_* ; POST /api/admin/report with template body; queue or sync send; log failures; feature-flag off by default for capstone demo without SMTP.,Could,5,Tasin,To Do,,Backend only
F-010,Blockchain & Wallet Evolution,Toggle between Anvil (default) and optional Sepolia testnet + MetaMask connect,Users can switch between local Anvil and a public testnet with MetaMask for reads/signing where applicable.,"Add env flag for NETWORK, MetaMask button in account page, ethers provider switch",Sukhan: NETWORK env enum anvil|sepolia; document RPC URLs. Haha: MetaMask connect with ethers BrowserProvider; read-only chain id display; do not break server-side donate (document that donate still uses server signer for demo). Security: warn on mainnet.,Should,8,Sukhan,To Do,,Blockchain service + Haha wallet UI
